Health C_1,BHCMIS Org,BPHC Assig,Site Name,Site Addre,Site City,Site State,Geocoding,Geocodin_1
LALCS31615,06E01291,BPS-LAL-021688,Southwest CARE Center - Galisteo Family Medicince,1691 Galisteo St,Santa Fe,NM,-105.9511454,35.66014002
LALCS31600,09E01287,BPS-LAL-032489,Wahiawa Center for Community Health - Admin,302 California Ave Ste 217,Wahiawa,HI,-158.031201,21.49537325
LALCS33899,04E01382,BPS-LAL-030309,Cempa Support Services,1000 E 3rd St Ste 103,Chattanooga,TN,-85.29051701,35.047275
LALCS35349,09E01391,BPS-LAL-031013,BeverlyCare - Women's Clinic Pico Rivera,8862 Whittier Blvd,Pico Rivera,CA,-118.0850593,34.00170526
LALCS31260,05E01271,BPS-LAL-031192,Aspire Indiana Health - Progress House Main,201 Shelby St,Indianapolis,IN,-86.13981788,39.7635293
LALCS00124,09E00641,BPS-LAL-011292,Garfield Health Center,210 N Garfield Ave Ste 203,Monterey Park,CA,-118.1228325,34.06418098
LALCS00158,09E01121,BPS-LAL-014287,Healthy Beginnings California,1414 N California St Ste B,Stockton,CA,-121.2883104,37.96756041
LALCS00176,09E01225,BPS-LAL-017324,Brighter Beginnings Family Health Clinic Richmond,2727 Macdonald Ave,Richmond,CA,-122.3422665,37.93502584
LALCS00033,9.00E+04,BPS-LAL-009874,Northeast Community Clinic - Community Medical Alliance,4129 Gage Ave,Bell,CA,-118.1927707,33.97868683
LALCS33879,09E01375,BPS-LAL-029837,"Tender Care Community Clinic, Inc.",7862 Firestone Blvd,Downey,CA,-118.1402967,33.94386941
LALCS00171,04E01130,BPS-LAL-029631,Lehigh Acres East Pediatric Office,260 Beth Stacey Blvd,Lehigh Acres,FL,-81.65448907,26.60891468
LALCS33334,04E01364,BPS-LAL-028008,NeighborHealth Center,4201 Lake Boone Trl Ste 5,Raleigh,NC,-78.70032443,35.81545065
LALCS33109,03E00460,BPS-LAL-028294,The Wright Center for Community Health Wayne Practice,1855 Fair Ave,Honesdale,PA,-75.26286311,41.59047574
LALCS00170,01E01129,BPS-LAL-020935,InterCommunity's School Based Health Center at Synergy Alternative High School,40 Butternut Dr,East Hartford,CT,-72.59645666,41.75527657
LALCS00124,09E00641,BPS-LAL-015804,Garfield Health Center Atlantic,701 S Atlantic Blvd Ste 100,Monterey Park,CA,-118.1363696,34.05379069
LALCS00085,1.00E+188,BPS-LAL-017566,CCS Behavioral at LAIM (Room A),3 Willow Run,Auburn,ME,-70.235053,44.120156
LALCS00084,03E00360,BPS-LAL-009829,Philadelphia District Health Center #5,1900 N 20th St,Philadelphia,PA,-75.16673533,39.98312783
LALCS00008,05E00936,BPS-LAL-009710,East Jefferson Avenue,7633 E Jefferson Ave Ste 340,Detroit,MI,-82.99823782,42.34923701
LALCS33816,09E01373,BPS-LAL-029628,"Peninsula Healthcare Connection, Inc.",33 Encina Ave Ste 103,Palo Alto,CA,-122.1607007,37.43917307
LALCS00171,04E01130,BPS-LAL-030599,Golisano Pediatrics Port Charlotte Caring Way,2484 Caring Way Unit F,Port Charlotte,FL,-82.10254924,26.98992327
LALCS00171,04E01130,BPS-LAL-021148,East Fort Myers Ob/Gyn Medical Office,4040 Palm Beach Blvd Ste F,Fort Myers,FL,-81.83163272,26.66562144
LALCS33880,06E01376,BPS-LAL-032502,GO CARE Community Health Center Administration-Only Site,2916 Cypress St Ste 3,West Monroe,LA,-92.14910509,32.51801715
LALCS35352,09E01392,BPS-LAL-030542,San Judas Community Health Center (SJCHC),1080 N Western Ave,Los Angeles,CA,-118.3091425,34.090264
LALCS31537,05E01285,BPS-LAL-027352,Adult and Child Health - Garfield Park,234 E Southern Ave,Indianapolis,IN,-86.15310152,39.72989201
LALCS33109,03E00460,BPS-LAL-027819,The Wright Center for Community Health Scranton Counseling Center Practice,326 Adams Ave,Scranton,PA,-75.66021117,41.40903331
LALCS40211,06E01422,BPS-LAL-032095,Sunrise Clinics - Santa Rosa,117 Camino De Vida Ste 300,Santa Rosa,NM,-104.693676,34.92943085
LALCS33896,09E01380,BPS-LAL-030256,AMH Comprehensive Medical Centers - Maywood,6017 Atlantic Blvd,Maywood,CA,-118.1859873,33.98469363
LALCS33333,09E01363,BPS-LAL-032465,Health Service Alliance,9804 Foothill Blvd,Rancho Cucamonga,CA,-117.591123,34.10669747
LALCS00181,02E01238,BPS-LAL-018386,TCFM Wayland,200 N Main St,Wayland,NY,-77.59089791,42.56963412
LALCS00181,02E01238,BPS-LAL-018384,TCFM Geneseo,50 E South St Ste 700,Geneseo,NY,-77.7992421,42.79361375
LALCS32517,05E01319,BPS-LAL-027116,Alliance Family Health Center,1401 S Arch Ave Ste A,Alliance,OH,-81.10135748,40.907924
LALCS33108,05E01361,BPS-LAL-027808,Primary Care,3535 Broadway,Gary,IN,-87.33650253,41.55419698
LALCS00085,1.00E+188,BPS-LAL-017570,CCS Behavioral at Ren School,15 Sacred Heart Pl Rm A,Auburn,ME,-70.23492996,44.0892888
LALCS35349,09E01391,BPS-LAL-030541,BeverlyCare - Pediatric Center,101 E Beverly Blvd Ste 301,Montebello,CA,-118.0984478,34.01557278
LALCS40177,09E01411,BPS-LAL-031689,Tarzana Treatment Centers- Antelope Valley Family Medical Clinic,907 W Lancaster Blvd,Lancaster,CA,-118.1471362,34.69736122
LALCS00007,06E00846,BPS-LAL-014638,ECTOR COUNTY HOSPITAL DISTRICT,6030 W University Blvd,Odessa,TX,-102.448486,31.85326637
LALCS40208,10E01418,BPS-LAL-032077,Cascadia Woodland Park Health Center,10373 NE Hancock St Ste 125,Portland,OR,-122.555715,45.53628747
LALCS32518,04E01321,BPS-LAL-024880,Southwest Georgia OBGYN Clinic,900 N Wiley Ave,Donalsonville,GA,-84.88007383,31.0520898
LALCS00171,04E01130,BPS-LAL-021185,Lehigh Acres Medical Office,5705 Lee Blvd,Lehigh Acres,FL,-81.75989612,26.62074993
LALCS31539,05E01284,BPS-LAL-031888,Equitas Health Mobile Unit #1,750 E Long St Ste 3000,Columbus,OH,-82.98137033,39.96724375
LALCS33899,04E01382,BPS-LAL-031278,Cempa Community Care at Impact Hub,4001 Rossville Blvd,Chattanooga,TN,-85.29140449,34.99739224
LALCS00182,02E01239,BPS-LAL-029412,Trillium Health at Science Parkway (THSP),170 Science Pkwy,Rochester,NY,-77.61241048,43.11873243
LALCS00041,924800,BPS-LAL-021855,Cedar University Clinic,4770 N Cedar Ave,Fresno,CA,-119.7541025,36.80471899
LALCS00084,03E00360,BPS-LAL-009831,Philadelphia District Health Center #9,131 E Chelten Ave,Philadelphia,PA,-75.17267457,40.03794959
LALCS32751,05E01359,BPS-LAL-032461,219 Health Network Inc.,9130 Columbia Ave Ste A,Munster,IN,-87.50564129,41.54722076
LALCS33898,04E01383,BPS-LAL-030268,HAPPI Urgent Care,807 Franklin St SE,Huntsville,AL,-86.57814422,34.72218494
LALCS00028,05E00781,BPS-LAL-020830,Axis Lake,1 W Lake St,Minneapolis,MN,-93.27881297,44.94833254
LALCS00171,04E01130,BPS-LAL-030598,Golisano Pediatrics Port Charlotte Harbor Blvd.,2525 Harbor Blvd Ste 204,Port Charlotte,FL,-82.09683748,26.98881799
LALCS00146,27370,BPS-LAL-012856,CMADC Mobile Dental Van,40 Robert Pitt Dr,Monsey,NY,-74.06452186,41.11137789
LALCS00158,09E01121,BPS-LAL-014285,Family Practice Clinic California,1414 N California St Ste C,Stockton,CA,-121.2883104,37.96756041
LALCS33899,04E01382,BPS-LAL-030308,Cempa Food Market,1000 E 3rd St Ste 102,Chattanooga,TN,-85.29051701,35.047275
LALCS33897,03E01379,BPS-LAL-030243,Star Wellness Dental - Easton,100 N 3rd St,Easton,PA,-75.20965202,40.69338399
LALCS31615,06E01291,BPS-LAL-021704,Southwest CARE Center - Administrative  Offices,810 W San Mateo Rd Ste 200,Santa Fe,NM,-105.9624136,35.66121521
LALCS33109,03E00460,BPS-LAL-027814,The Wright Center for Community Health Mid Valley Practice,5 S Washington Ave,Jermyn,PA,-75.54756895,41.51634405
LALCS31614,04E01290,BPS-LAL-021687,Black River Family Practice,301 S Campbell St,Burgaw,NC,-77.92044794,34.54963043
LALCS31106,03E01267,BPS-LAL-020817,DSS,99 9th St Fl 5,Lynchburg,VA,-79.14124444,37.41547887
LALCS33404,06E01365,BPS-LAL-028078,Acadiana Cares,809 Martin Luther King Jr Dr,Lafayette,LA,-92.02308795,30.25135
LALCS00036,044855E,BPS-LAL-009754,Mars Hill Medical Center,119 Mountain View Rd,Mars Hill,NC,-82.54675918,35.82727119
LALCS00186,09E01250,BPS-LAL-030237,Families Together of Orange County-Mobile Clinic,661 W 1st St Ste G,Tustin,CA,-117.831234,33.74577746
LALCS00186,09E01250,BPS-LAL-021969,Families Together of Orange County,661 W 1st St Ste A,Tustin,CA,-117.831329,33.74605398
LALCS00062,928860,BPS-LAL-027082,"Centro Medico Community Clinic, Inc. Dental",1307 W 6th St Ste 111,Corona,CA,-117.589032,33.878696
LALCS40208,10E01418,BPS-LAL-032079,Cascadia Woodland Park Health Center,10373 NE Hancock St Ste 200,Portland,OR,-122.555872,45.53628742
LALCS31106,03E01267,BPS-LAL-020819,Park View,2420 Memorial Ave,Lynchburg,VA,-79.16723198,37.40291501
LALCS41899,04E01428,BPS-LAL-032366,FAU/NCHA U.B. Kinsey Community Health Center,720 8th St,West Palm Beach,FL,-80.05912926,26.72075399
LALCS00170,01E01129,BPS-LAL-030726,InterCommunity Administrative Office,800 Connecticut Blvd Bldg,East Hartford,CT,-72.66165001,41.77020399
LALCS40178,02E01412,BPS-LAL-031687,Evergreen Health - Bailey Ave.,3297 Bailey Ave,Buffalo,NY,-78.81345196,42.94458088
LALCS33896,09E01380,BPS-LAL-030255,AMH Comprehensive Medical Centers - Alvarado,711 N Alvarado St Ste 101,Los Angeles,CA,-118.2655646,34.07423231
LALCS40177,09E01411,BPS-LAL-032159,Tarzana Treatment Centers - Atlantic Ave,5190 Atlantic Ave,Long Beach,CA,-118.1848288,33.8507934
LALCS31662,06E01298,BPS-LAL-031120,Mercy Medicine Pharmacy,4631 Quitman Hwy,Hodge,LA,-92.72380232,32.26642695
LALCS32751,05E01359,BPS-LAL-032044,219 Health Network Inc,6625 W Lincoln Hwy Ste 2,Crown Point,IN,-87.41709621,41.47854205
LALCS00170,01E01129,BPS-LAL-014711,"InterCommunity, Inc.",281 Main St,East Hartford,CT,-72.63279079,41.74266567
LALCS33109,03E00460,BPS-LAL-027816,The Wright Center for Community Health Scranton Practice,501 S Washington Ave,Scranton,PA,-75.66970862,41.4024562
LALCS00040,06E00612,BPS-LAL-021385,El Pueblo Health Services Behavioral Health,872 S Camino Del Pueblo,Bernalillo,NM,-106.5498137,35.30290842
LALCS33109,03E00460,BPS-LAL-027818,The Wright Center for Community Health South Scranton Intermediate School,355 Maple St,Scranton,PA,-75.67134636,41.39753468
LALCS32751,05E01359,BPS-LAL-032463,219 Health Network Inc.,4320 Fir St Unit 307,East Chicago,IN,-87.44855256,41.63612608
LALCS31536,04E01286,BPS-LAL-027642,Clover Fork School Based Health at Verda Headstart,54 School House Rd,Evarts,KY,-83.14004155,36.89828097
LALCS00008,05E00936,BPS-LAL-017140,Greenfield,23077 Greenfield Rd Ste 400,Southfield,MI,-83.20249701,42.46078799
LALCS31626,02E01296,BPS-LAL-021909,"His Branches, Inc: Joy Family Medicine",918 N Goodman St,Rochester,NY,-77.57859327,43.17096397
LALCS43504,04E01431,BPS-LAL-032796,Fulton Family Medical,218 Main St,Fulton,AL,-87.72669982,31.78781613
LALCS31539,05E01284,BPS-LAL-031796,Equitas Health Columbus Administration Office,1105 Schrock Rd Ste 400,Columbus,OH,-82.98491303,40.10165599
LALCS31536,04E01286,BPS-LAL-027646,Clover Fork School Based Health at Cawood Elementary,51 Nola St,Cawood,KY,-83.22895616,36.78444284
LALCS00181,02E01238,BPS-LAL-018387,"Tri-County Family Medicine Program, Inc. -  Admin",PO BOX 601,Dansville,NY,-77.70703999,42.56842
LALCS40180,09E01416,BPS-LAL-032487,Community Health Centers of America Administrative Site,5200 Pirrone Ct Ste A,Salida,CA,-121.0905852,37.71675136
LALCS35349,09E01391,BPS-LAL-030540,Beverly Care-Family Care Center,101 E Beverly Blvd Ste 303,Montebello,CA,-118.0984466,34.01557252
LALCS31537,05E01285,BPS-LAL-024896,Adult and Child Health - Greenwood,8320 Madison Ave,Indianapolis,IN,-86.1203297,39.64509331
LALCS33899,04E01382,BPS-LAL-030307,"Cempa Prevention, Education, and Outreach",1042 E 3rd St Ste 200,Chattanooga,TN,-85.28859001,35.04674501
LALCS30797,09E01263,BPS-LAL-032815,HealthRIGHT360- San Mateo Clinic,117 N San Mateo Dr # no1,San Mateo,CA,-122.3286989,37.56871995
LALCS40173,09E01398,BPS-LAL-031517,"Tzu Chi Community Clinic, South El Monte",10414 Vacco St,South El Monte,CA,-118.044335,34.04731014
LALCS31106,03E01267,BPS-LAL-024739,Thomson Drive Dental,1927 Thomson Dr,Lynchburg,VA,-79.17511491,37.41813802
LALCS32517,05E01319,BPS-LAL-027117,Alliance Family Health Center - Mastroianni Center,110 W Cambridge St,Alliance,OH,-81.10784779,40.91655671
LALCS31539,05E01284,BPS-LAL-021464,Equitas Health Clintonville,4400 N High St Ste 300,Columbus,OH,-83.02006111,40.0520482
LALCS31662,06E01298,BPS-LAL-022001,Mercy Medical Health Center,4633 Quitman Hwy,Hodge,LA,-92.72380743,32.26653122
LALCS40178,02E01412,BPS-LAL-031686,Evergreen Health - Mathews Building,282 Delaware Ave,Buffalo,NY,-78.87636753,42.89211125
LALCS31615,06E01291,BPS-LAL-030649,Southwest CARE Center - Albuquerque,4710 Jefferson St NE Ste A,Albuquerque,NM,-106.5907411,35.13424768
LALCS00033,9.00E+04,BPS-LAL-018002,Northeast Community Clinic,1403 Lomita Blvd Ste 103,Harbor City,CA,-118.3016616,33.79783109
LALCS41899,04E01428,BPS-LAL-032367,FAU/NCHA Westgate Community Health Center,1650 Osceola Dr,West Palm Beach,FL,-80.09288561,26.70128635
LALCS00033,9.00E+04,BPS-LAL-019144,NORTHEAST COMMUNITY CLINIC,1414 S Grand Ave Ste 456,Los Angeles,CA,-118.2656921,34.03665946
LALCS31598,02E01288,BPS-LAL-021490,Lasante Health Center,672 Parkside Ave,Brooklyn,NY,-73.95081053,40.65618192
LALCS31537,05E01285,BPS-LAL-021450,Adult and Child Health - Northwood Plaza,1860 Northwood Plz,Franklin,IN,-86.0671363,39.49557197
LALCS00045,03E00937,BPS-LAL-009771,"Sharon Community Health Center, Inc.",94 W Connelly Blvd,Sharon,PA,-80.51016114,41.22999268
LALCS31600,09E01287,BPS-LAL-031876,Wahiawa Health - Behavioral Health,302 California Ave Ste 214,Wahiawa,HI,-158.0311608,21.4953819
LALCS00174,05E01162,BPS-LAL-018714,Legacy Medical Care - Hanover Park,6620 Barrington Rd,Hanover Park,IL,-88.14483743,41.99266498
LALCS00076,09E00703,BPS-LAL-009816,Family and Pediatric Health Center,830 Scenic Dr Ste A,Modesto,CA,-120.9828575,37.64718589
LALCS30797,09E01263,BPS-LAL-019734,Lyon Martin Health Services/Women's Community Clinic,1735 Mission St,San Francisco,CA,-122.4199428,37.76961779
LALCS40209,04E01419,BPS-LAL-032076,"Community Care Clinic, Inc.",126 Franklin Rd,Monticello,KY,-84.82738996,36.86613999
LALCS31653,01E01297,BPS-LAL-021934,White Mountain Community Health Center,298 White Mountain Hwy,Conway,NH,-71.11121234,43.98673793
LALCS35349,09E01391,BPS-LAL-030543,BeverlyCare - Administration,101 E Beverly Blvd Ste 104A,Montebello,CA,-118.0984466,34.01557252
LALCS33333,09E01363,BPS-LAL-028006,Chino Valley Community Health Center,13193 Central Ave Ste 100,Chino,CA,-117.6891703,34.01406428
LALCS00176,09E01225,BPS-LAL-031798,Brighter Beginnings Family Health Center Antioch Downtown,512 W 5th St,Antioch,CA,-121.813216,38.01478745
LALCS00176,09E01225,BPS-LAL-017323,Brighter Beginnings Family Health Clinic Antioch,2213 Buchanan Rd,Antioch,CA,-121.8360124,37.99880618
LALCS32749,9.00E+205,BPS-LAL-027585,"De Novo Health Care, Inc. - E. Rosecrans Ave. Clinic",803 E Rosecrans Ave,East Rancho Dominguez,CA,-118.215143,33.90347752
LALCS31539,05E01284,BPS-LAL-021463,Equitas Health Dayton #2,1222 S Patterson Blvd Ste 200,Dayton,OH,-84.19116797,39.74036701
LALCS00112,03E00583,BPS-LAL-010908,Coalfield Health Center,386 Airport Rd,Chapmanville,WV,-82.01920404,37.95700923
LALCS00085,1.00E+188,BPS-LAL-009921,Lewiston High School-Based Health Center,156 East Ave,Lewiston,ME,-70.20227398,44.09324699
LALCS00076,09E00703,BPS-LAL-030071,Administrative Site,917 Oakdale Rd Trlr A,Modesto,CA,-120.9574989,37.65605046
LALCS00018,09E00647,BPS-LAL-016808,Sacramento Community Clinic - Explorer Drive,3030 Explorer Dr,Sacramento,CA,-121.3324272,38.56336109
LALCS39530,3.00E+151,BPS-LAL-031061,Metro Health Secondary Site,801 Pennsylvania Ave SE Ste 201,Washington,DC,-76.99453949,38.88364698
LALCS33899,04E01382,BPS-LAL-030310,Cempa Finance Department,1000 E 3rd St Ste 202,Chattanooga,TN,-85.29051701,35.047275
LALCS31625,09E01295,BPS-LAL-021956,White Memorial Community Health Center-Administration,1828 E Cesar E Chavez Ave Ste 6100,Los Angeles,CA,-118.2155226,34.05024293
LALCS00186,09E01250,BPS-LAL-028368,Families Together of Orange County-Wellness Center,621 W 1st St,Tustin,CA,-117.830524,33.7457775
LALCS31468,04E01274,BPS-LAL-021226,Whole Family Health Center,725 N US Highway 1,Fort Pierce,FL,-80.32737136,27.45561347
LALCS33899,04E01382,BPS-LAL-031001,Mobile Clinic,816 Mountain Creek Rd,Chattanooga,TN,-85.32749646,35.10109835
LALCS00181,02E01238,BPS-LAL-018385,TCFM Nunda,61 N State St,Nunda,NY,-77.94105082,42.58300594
LALCS32516,08E01320,BPS-LAL-028189,Wheat Ridge Family Health Clinic,6301 W 38th Ave Bldg,Wheat Ridge,CO,-105.06715,39.76967798
LALCS33896,09E01380,BPS-LAL-030303,AMH Comprehensive Medical Centers - Administrative - Ste B,206 S Atlantic Blvd Ste B,East Los Angeles,CA,-118.1509466,34.03446672
LALCS31615,06E01291,BPS-LAL-021686,Southwest CARE Center - Primary Care Services,649 Harkle Rd,Santa Fe,NM,-105.9530103,35.66062957
LALCS00062,928860,BPS-LAL-017617,"Centro Medico Community Clinic, Riverside",10368 Arlington Ave,Riverside,CA,-117.4796694,33.94655546
LALCS33109,03E00460,BPS-LAL-028286,The Wright Center for Community Health Kingston Practice,2 Sharpe St,Kingston,PA,-75.88861728,41.26976285
LALCS00171,04E01130,BPS-LAL-029912,Cape Coral Pediatric Office,650 Del Prado Blvd S,Cape Coral,FL,-81.94094061,26.6392745
LALCS31259,09E01272,BPS-LAL-030623,Livingstone Community Health Clinic,111 W Bastanchury Rd Ste 1A,Fullerton,CA,-117.92983,33.8953099
LALCS33966,05E00533,BPS-LAL-030391,Glenville Community Health Center,11100 Saint Clair Ave,Cleveland,OH,-81.60710006,41.54074076
LALCS40181,05E01414,BPS-LAL-031791,Centerstone Health Services - Connersville,390 Erie Ave,Connersville,IN,-85.12649306,39.67902421
LALCS32712,03E01355,BPS-LAL-031191,MHEDS-John F. Kennedy Center,2021 E 20th St,Erie,PA,-80.03211271,42.13390571
LALCS33897,03E01379,BPS-LAL-030253,Star Wellness Dental Van - Allentown,511 E 3rd St Unit 301,Bethlehem,PA,-75.37163465,40.61219134
LALCS00085,1.00E+188,BPS-LAL-017571,CCS Behavioral at AMA,2 Great Falls Plz Ste 21,Auburn,ME,-70.2246643,44.09750571
LALCS00181,02E01238,BPS-LAL-018382,TCFM Cohocton,25 Park Ave,Cohocton,NY,-77.49776976,42.49798771
LALCS32751,05E01359,BPS-LAL-030350,219 Health Network Inc,4320 Fir St Unit 208,East Chicago,IN,-87.44855256,41.63612608
LALCS33334,04E01364,BPS-LAL-032710,Temporary Site - The Summit Church,3249 Blue Ridge Rd,Raleigh,NC,-78.69909975,35.82419243
LALCS40208,10E01418,BPS-LAL-032083,Cascadia Behavioral Healthcare- Administrative Office,847 NE 19th Ave Ste 100,Portland,OR,-122.6465375,45.529081
LALCS00018,09E00647,BPS-LAL-012294,Sacramento Community Clinic - Del Paso Dental,2138 Del Paso Blvd,Sacramento,CA,-121.451053,38.6097512
LALCS31260,05E01271,BPS-LAL-021705,Aspire Indiana Health - Boone County,1600 W Main St,Lebanon,IN,-86.48700075,40.04758283
LALCS32103,09E01313,BPS-LAL-024470,SCHG Anaheim Clinic,2100 E Anaheim St Ste B,Long Beach,CA,-118.166386,33.78257251
LALCS00085,1.00E+188,BPS-LAL-009913,Edward Little High School-Based Health Center,77 Harris St,Auburn,ME,-70.23528619,44.09492622
LALCS31625,09E01295,BPS-LAL-021907,WMCHC-Dental,1828 E Cesar E Chavez Ave Ste 4100,Los Angeles,CA,-118.215541,34.05025143
LALCS00171,04E01130,BPS-LAL-014712,North Fort Myers Medical Office,13279 N Cleveland Ave,North Fort Myers,FL,-81.8853556,26.66203126
LALCS35349,09E01391,BPS-LAL-030539,Beverly Care- Women�s Health Center,1920 W Whittier Blvd,Montebello,CA,-118.122212,34.0131139
LALCS32518,04E01321,BPS-LAL-024884,Southwest Georgia Pediatric CLinic,205 Bresee St,Donalsonville,GA,-84.87997085,31.05077092
LALCS33109,03E00460,BPS-LAL-031962,The Wright Center for Community Health Scranton Counseling Practice,329 Cherry St Ste 1B,Scranton,PA,-75.67559943,41.39449185
LALCS33896,09E01380,BPS-LAL-030304,AMH Comprehensive Medical Centers - Administrative - Ste A,206 S Atlantic Blvd Ste A,East Los Angeles,CA,-118.1509466,34.03446672
LALCS31819,04E01301,BPS-LAL-022173,Careteam + Family Health and Specialty Care,100 Professional Park Dr,Conway,SC,-79.01167341,33.78210417
LALCS32583,05E01325,BPS-LAL-027096,Portsmouth Clinic,901 Washington St,Portsmouth,OH,-82.99849464,38.73767639
LALCS00033,9.00E+04,BPS-LAL-018004,Northeast Community Clinic,1414 S Grand Ave Ste 380,Los Angeles,CA,-118.2656921,34.03665946
LALCS31537,05E01285,BPS-LAL-021449,Adult and Child Health - Admin Only,222 E Ohio St Ste 600,Indianapolis,IN,-86.15359102,39.76983744
LALCS40181,05E01414,BPS-LAL-031792,Centerstone Health Services,645 S Rogers St,Bloomington,IN,-86.53864249,39.15995101
LALCS40298,09E01425,BPS-LAL-032350,CLCHC- Kristina Sergeyeva Family Health Center,27800 Medical Center Rd Ste 110,Mission Viejo,CA,-117.6647249,33.55970298
LALCS00171,04E01130,BPS-LAL-016848,Cape Coral Medical Office,1435 SE 8th Ter,Cape Coral,FL,-81.942186,26.63736898
LALCS31539,05E01284,BPS-LAL-031330,Equitas Health Pharmacy King Lincoln,736 E Long St,Columbus,OH,-82.98130403,39.967251
LALCS00012,9.00E+153,BPS-LAL-009720,Castle family Health center @ Castle,3605 Hospital Rd,Atwater,CA,-120.5767334,37.36677673
LALCS00013,03E00566,BPS-LAL-031189,Temporary Site - Carmel Baptist Church,90 Port Perry Rd,North Versailles,PA,-79.83310763,40.38591147
LALCS40298,09E01425,BPS-LAL-032351,"CLCHC- Theodore J Caliendo, MD Pediatric Center",27800 Medical Center Rd Ste 202-204,Mission Viejo,CA,-117.6647254,33.55970332
LALCS33333,09E01363,BPS-LAL-031764,Administrative Site,220 S Indian Hill Blvd Ste F,Claremont,CA,-117.7192526,34.09165799
LALCS00170,01E01129,BPS-LAL-020937,InterCommunity's School Based Health Center at  Franklin Mayberry Elementary School,101 Great Hill Rd,East Hartford,CT,-72.59515998,41.77621071
LALCS40173,09E01398,BPS-LAL-031515,"Tzu Chi Medical Center, Alhambra",1000 S Garfield Ave,Alhambra,CA,-118.1230425,34.08455798
LALCS00033,9.00E+04,BPS-LAL-012825,NECC - Gage Health Center,2975 Zoe Ave,Huntington Park,CA,-118.2161349,33.97938735
LALCS33110,09E01360,BPS-LAL-027810,Todos Para La Salud,4420 N 1st St Ste 123,Fresno,CA,-119.7722225,36.79817298
LALCS00182,02E01239,BPS-LAL-028290,Trillium Health Mobile Access Clinic (MAC),170 Science Pkwy,Rochester,NY,-77.61241048,43.11873243
LALCS31420,09E01270,BPS-LAL-021056,Aghaby: Compton,349 W Compton Blvd,Compton,CA,-118.2276836,33.89598204
LALCS00146,27370,BPS-LAL-012857,Community Medical and Dental Care Inc.,40 Robert Pitt Dr,Monsey,NY,-74.06452186,41.11137789
LALCS00084,03E00360,BPS-LAL-030841,Temporary Site - Health Center 3,4219 Chester Ave,Philadelphia,PA,-75.20746714,39.94854017
LALCS40209,04E01419,BPS-LAL-032493,Faith Healthcare Administrative Office,521 Crane Rd,Somerset,KY,-84.59938634,37.06110961
LALCS33109,03E00460,BPS-LAL-031002,The Wright Center for Community Health Driving Better Health,5 S Washington Ave,Jermyn,PA,-75.54756895,41.51634405
LALCS31106,03E01267,BPS-LAL-021283,5th Street Community Health Center,800 5th St Ste A,Lynchburg,VA,-79.15083555,37.41498663
LALCS00084,03E00360,BPS-LAL-009830,Philadelphia District Health Center #4,4400 Haverford Ave,Philadelphia,PA,-75.21063115,39.96252819
